Serial Number,Device Name,Address,Lat,Long,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,2022,,,,
20125697,#KC CITY OF SOMERVILLE #SN MACARTHUR ST BOX #18 BEHIND ABANDONED HOUSE ON MACARTHUR ST,11 Macarthur St,42.38903,-71.0885,0,0,0,0,0,0,0,0,0,38,,,,
20125779,#KC CITY OF SOMERVILLE #SN BOX #28 10 MACARTHUR ST,10 MACARTHUR ST,42.38881,-71.0879,0,0,0,0,0,0,0,0,0,5,,,,
20127488,#KC CITY OF SOMERVILLE #SN BOX #33 GILMAN ST ALDRICH FENCE,59 Gilman St,42.38546,-71.0914,0,0,0,0,0,0,0,0,0,4,,,,
20127596,#KC CITY OF SOMERVILLE #SN BOX #32 BIKE PATH,LEXINGTON AVE,42.39441,-71.1141,0,0,0,0,0,0,0,0,0,8,,,,
20127675,#KC CITY OF SOMERVILLE #SN BOX #31 BIKE PATH,LEXINGTON AVE,42.39456,-71.114,0,0,0,0,0,0,0,0,0,6,,,,
20127676,#KC CITY OF SOMERVILLE #SN BOX #30 BIKE PATH,LEXINGTON AVE,42.39434,-71.1139,0,0,0,0,0,0,0,0,0,12,,,,
20127719,#KC CITY OF SOMERVILLE #SN BOX #46 GILMAN ST AFTER PLAYGROUND,GILMAN ST,42.38541,-71.0914,0,0,0,0,0,0,0,0,0,20,,,,
20127732,#KC CITY OF SOMERVILLE #SN BOX #34 106 GILMAN ST,106 GILMAN ST,42.38645,-71.0933,0,0,0,0,0,0,0,0,0,19,,,,
20129364,#KC CITY OF SOMERVILLE #SN BOX #41 BIKE PATH AGAINST ROCK WALL GREEN FENCE,LEXINGTON AVE,42.39426,-71.1139,0,0,0,0,0,0,0,0,0,10,,,,
20129548,#KC CITY OF SOMERVILLE #SN BIKE PATH GREEN BUILDING,LEXINGTON AVE,42.39483,-71.1144,0,0,0,0,0,0,0,0,0,10,,,,
20129624,#KC CITY OF SOMERVILLE #SN BOX #36 BIKE PATH,LEXINGTON AVE,42.39497,-71.1151,0,0,0,0,0,0,0,0,0,6,,,,
20129646,#KC CITY OF SOMERVILLE #SN BOX #49 BIKE PATH BEHIND FURNITURE STORE,LEXINGTON AVE,42.39426,-71.1139,0,0,0,0,0,0,0,0,0,4,,,,
20129851,#KC CITY OF SOMERVILLE #SN BOX #35 GILMAN ST DOG PARK,GILMAN ST,42.38731,-71.0936,0,0,0,0,0,0,0,0,0,30,,,,
20129859,#KC CITY OF SOMERVILLE #SN BOX #42 BIKE PATH FAR END BEHIND GARAGE,LEXINGTON AVE,42.39409,-71.1113,0,0,0,0,0,0,0,0,0,2,,,,
