Description,Lat,Long
405 Highland Ave - Comicazi,42.39600465,-71.12136995
406 Highland Ave (Bank of America) w Recy 5502636,42.39596213,-71.1213051
406 Highland Ave (Bank of America) w Recy 5502636,42.39596213,-71.1213051
415 Medford St on Sycamore (tipping cow) w Recy 5502671,42.39150556,-71.099333
415 Medford St on Sycamore (tipping cow) w Recy 5502671,42.39150556,-71.099333
420 Highland Ave - Snappy Ramen,42.3961994,-71.12175852
421 Highland Ave  (Middlesex Fed Savings) w Recy 5502654,42.39650167,-71.12204833
421 Highland Ave  (Middlesex Fed Savings) w Recy 5502654,42.39650167,-71.12204833
43 Holland St. (Davis Sq Dental) w Recy 5502656,42.39777739,-71.12345131
43 Holland St. (Davis Sq Dental) w Recy 5502656,42.39777739,-71.12345131
44 Broadway @ George St ( Taco Loco) w Recy 5502670,42.38629854,-71.07978138
44 Broadway @ George St ( Taco Loco) w Recy 5502670,42.38629854,-71.07978138
46 Pearl St Symphony Park w Recy 270658,42.38391,-71.082641
46 Pearl St Symphony Park w Recy 270658,42.38391,-71.082641
487 Medford St @ Partridge Ave,42.39540261,-71.10272956
492 Medford St - Medford St @ Trull St Bus Stop,42.39552568,-71.1030763
494 Medford St @ Trull St w Recy 5502662,42.39580333,-71.10325167
494 Medford St @ Trull St w Recy 5502662,42.39580333,-71.10325167
495 Medford St,42.39589082,-71.10334786
497 Broadway - Creative Signs,42.39747957,-71.10499604
497 Somerville Ave (T&C Convenience) w Recy 5502645,42.38296539,-71.10499358
497 Somerville Ave (T&C Convenience) w Recy 5502645,42.38296539,-71.10499358
499 Broadway - On the Hill Tavern,42.39762833,-71.104665
5 Cutter Ave Telebelly,42.39414576,-71.12045284
501 Medford St (Modelos Bakery) w Recy 5502653,42.3962039,-71.1034303
501 Medford St (Modelos Bakery) w Recy 5502653,42.3962039,-71.1034303
506 Medford St - White Sport Pizza (5502669),42.39621784,-71.10358664
506 Medford St - White Sport Pizza (5502669),42.39621784,-71.10358664
509 Broadway - Broadway @ Hinckley St Bus Stop w/Recy 5503388,42.39755719,-71.10517453
509 Broadway - Broadway @ Hinckley St Bus Stop w/Recy 5503388,42.39755719,-71.10517453
509 Medford St w/Recy 5503391,42.39644846,-71.10354528
509 Medford St w/Recy 5503391,42.39644846,-71.10354528
510 Broadway - Broadway @ Hinckley St - Magoun Sq Bus Stop w/Recy 5503392,42.39751333,-71.10520667
510 Broadway - Broadway @ Hinckley St - Magoun Sq Bus Stop w/Recy 5503392,42.39751333,-71.10520667
518 Medford St (Olde Magoon's Saloon) w Recy 5502641,42.39670183,-71.10396708
518 Medford St (Olde Magoon's Saloon) w Recy 5502641,42.39670183,-71.10396708
55 Davis Square ifo Mr Crepe - Recy (Duo w/Trash 170330),42.39663205,-71.12274954
55 Davis Square ifo Mr Crepe Trash (Duo w/Recy 170390),42.39648291,-71.12304727
62 Broadway @ Lincoln w Recy 5502657,42.38666252,-71.08066899
62 Broadway @ Lincoln w Recy 5502657,42.38666252,-71.08066899
64 Union Square (Subway) w Recy 5502655,42.37960841,-71.09504133
64 Union Square (Subway) w Recy 5502655,42.37960841,-71.09504133
674 Broadway (Kelly's Diner) w Recy 5502661,42.39961955,-71.11154196
674 Broadway (Kelly's Diner) w Recy 5502661,42.39961955,-71.11154196
682 Broadway - The Pub w/Recy 5503384,42.39965982,-71.11168599
682 Broadway - The Pub w/Recy 5503384,42.39965982,-71.11168599
691 Broadway - Paperworks w/Recy 5503396,42.39992869,-71.11197265
